Model,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Województwo,Rodzaj ogłoszenia,Producent,Czy cena do negocjacji,Roczny przebieg,Wiek
E Klasa,Benzyna,Sedan,151300,Srebrny,2597.0,Automatyczna,Niemcy,177.0,Na tylne koła,po lewej,18500.0,Zachodniopomorskie,Prywatne,Mercedes-Benz,True,6479.657387580325,23
Fabia,Benzyna,Hatchback,222000,Srebrny,1390.0,Manualna,Polska,101.0,Na przednie koła,po lewej,2500.0,Łódzkie,Prywatne,Skoda,False,8757.396449704174,25
5GT,Diesel,Hatchback,279000,Czarny,2993.0,Automatyczna,Polska,245.0,4x4 (stały),po lewej,49500.0,Małopolskie,Prywatne,BMW,False,18175.89576547242,15
Cherokee,Diesel,Terenowy,236675,Czarny,2776.0,Automatyczna,Włochy,163.0,4x4 (dołączany ręcznie),po lewej,29900.0,Małopolskie,Firmowe,Jeep,True,11630.221130221182,20
Laguna,Benzyna,Kombi,217000,Srebrny,1598.0,Manualna,Dania,110.0,Na przednie koła,po lewej,16700.0,Śląskie,Firmowe,Renault,True,13272.171253822704,16
A6,Diesel,Kombi,264500,Czarny,3000.0,Automatyczna,Polska,272.0,4x4 (dołączany automatycznie),Brak danych,64500.0,Świętokrzyskie,Prywatne,Audi,False,28288.77005347621,9
A4,LPG,Kombi,325000,Czarny,2000.0,Manualna,Niemcy,130.0,Na tylne koła,po lewej,10400.0,Warmińsko-mazurskie,Prywatne,Audi,False,13918.629550321253,23
RAV-4,Benzyna,SUV,176122,Szary,1998.0,Automatyczna,Polska,152.0,4x4 (dołączany automatycznie),po lewej,71900.0,Podlaskie,Prywatne,Toyota,True,18836.577540107137,9
GLE,Diesel,SUV,150084,Biały,3000.0,Automatyczna,Polska,290.0,4x4 (dołączany automatycznie),po lewej,175000.0,Śląskie,Prywatne,Mercedes-Benz,True,20419.591836734948,7
Corsa,Benzyna,Coupe,96000,Czarny,1400.0,Manualna,Polska,90.0,Brak danych,po lewej,32000.0,Wielkopolskie,Prywatne,Opel,True,11497.005988024077,8
X5,Diesel,SUV,374000,Czarny,2993.0,Automatyczna,Holandia,255.0,4x4 (dołączany automatycznie),po lewej,44500.0,Lubelskie,Prywatne,BMW,False,18378.37837837846,20
Swift,Benzyna,Hatchback,253000,Czarny,1328.0,Manualna,Polska,92.0,Na przednie koła,po lewej,9000.0,Warmińsko-mazurskie,Prywatne,Suzuki,True,13787.465940054564,18
Corolla,Benzyna,Sedan,146400,Biały,1600.0,Manualna,Polska,135.0,Na przednie koła,Brak danych,50300.0,Dolnośląskie,Prywatne,Toyota,True,19918.367346939023,7
XC 60,Diesel,SUV,292000,Biały,2000.0,Automatyczna,Włochy,190.0,Na przednie koła,po lewej,56000.0,Małopolskie,Prywatne,Volvo,True,31229.946524064475,9
Passat,Diesel,Sedan,339000,Inny kolor,1968.0,Manualna,Polska,140.0,Na przednie koła,po lewej,14000.0,Kujawsko-pomorskie,Prywatne,Volkswagen,False,19538.90489913555,17
R Klasa,Diesel,Minivan,323000,Czarny,3000.0,Automatyczna,Polska,190.0,Na tylne koła,po lewej,28000.0,Pomorskie,Prywatne,Mercedes-Benz,True,18616.714697406438,17
9-3,Diesel,Sedan,357000,Czarny,1910.0,Manualna,Brak danych,120.0,Na przednie koła,po lewej,9000.0,Lubelskie,Prywatne,Saab,True,19455.0408719347,18
Megane,LPG,Kabriolet,254000,Srebrny,2000.0,Manualna,Niemcy,136.0,Na przednie koła,po lewej,13499.0,Zachodniopomorskie,Prywatne,Renault,False,14639.769452449644,17
Vivaro,Diesel,Minibus,178000,Szary,1598.0,Manualna,Polska,125.0,Brak danych,Brak danych,56000.0,Dolnośląskie,Firmowe,Opel,True,24217.68707483023,7
S40,Diesel,Sedan,319678,Czerwony,1997.0,Manualna,Brak danych,136.0,Na przednie koła,po prawej,10300.0,Zachodniopomorskie,Prywatne,Volvo,True,15708.992628992699,20
Polo,Benzyna,Hatchback,134500,Czerwony,1198.0,Manualna,Brak danych,54.0,Na przednie koła,po lewej,6999.0,Małopolskie,Prywatne,Volkswagen,False,7329.7002724796,18
Passat,Benzyna,Kombi,203300,Szary,1800.0,Manualna,Niemcy,160.0,Na przednie koła,po lewej,13500.0,Lubelskie,Prywatne,Volkswagen,True,12434.250764526063,16
207,Diesel,Hatchback,236000,Czarny,1600.0,Manualna,Brak danych,109.0,Na przednie koła,po lewej,9500.0,Małopolskie,Prywatne,Peugeot,True,12861.035422343388,18
A6,Benzyna,Kombi,409000,Czarny,2393.0,Automatyczna,Brak danych,170.0,Na przednie koła,po lewej,16000.0,Podlaskie,Prywatne,Audi,True,20098.28009828019,20
Cee'd,Benzyna,Kombi,146000,Szary,1396.0,Manualna,Niemcy,90.0,Na przednie koła,po lewej,18900.0,Łódzkie,Prywatne,Kia,True,9511.400651465854,15
Corsa,Benzyna,Hatchback,44900,Srebrny,1400.0,Manualna,Polska,90.0,Brak danych,po lewej,39500.0,Opolskie,Prywatne,Opel,False,6108.843537415041,7
Seria 5,Diesel,Kombi,289000,Czarny,2000.0,Automatyczna,Belgia,150.0,Na tylne koła,po lewej,41900.0,Pomorskie,Prywatne,BMW,False,23400.809716599364,12
Seria 3,Benzyna,Kabriolet,214300,Inny kolor,2500.0,Manualna,Niemcy,170.0,Na tylne koła,po lewej,20000.0,Dolnośląskie,Prywatne,BMW,True,8453.648915187407,25
Seria 5,LPG,Sedan,390000,Inny kolor,2171.0,Manualna,Niemcy,170.0,Na tylne koła,po lewej,5700.0,Małopolskie,Prywatne,BMW,False,15384.61538461544,25
Antara,Diesel,SUV,196000,Szary,1991.0,Manualna,Belgia,127.0,Na przednie koła,po lewej,15900.0,Śląskie,Prywatne,Opel,True,12768.729641693886,15
Panda,Benzyna,Hatchback,246185,Biały,1108.0,Manualna,Polska,40.0,Na przednie koła,po lewej,3000.0,Mazowieckie,Prywatne,Fiat,False,12097.542997543052,20
Caddy,Diesel,Minibus,97000,Czarny,2000.0,Manualna,Niemcy,105.0,Na przednie koła,po prawej,58900.0,Wielkopolskie,Prywatne,Volkswagen,False,9371.980676328585,10
Lancer,Diesel,Sedan,270000,Srebrny,2000.0,Manualna,Brak danych,140.0,Na przednie koła,po lewej,20000.0,Dolnośląskie,Prywatne,Mitsubishi,True,14713.89645776574,18
CLA,Benzyna,Kombi,79999,Biały,1332.0,Automatyczna,Polska,163.0,Na przednie koła,po lewej,138000.0,Mazowieckie,Prywatne,Mercedes-Benz,True,12598.267716535613,6
Space Star,Benzyna,Hatchback,160262,Niebieski,1000.0,Manualna,Niemcy,71.0,Na przednie koła,po lewej,14999.0,Podlaskie,Prywatne,Mitsubishi,True,17140.32085561514,9
Dokker,Benzyna,Minivan,188000,Biały,1600.0,Manualna,Polska,75.0,Brak danych,po lewej,23500.0,Wielkopolskie,Prywatne,Dacia,True,22514.970059880485,8
Mondeo,Diesel,Kombi,322886,Czarny,1997.0,Manualna,Niemcy,140.0,Na przednie koła,Brak danych,9900.0,Małopolskie,Prywatne,Ford,True,18610.144092219118,17
TT,Benzyna,Coupe,113300,Czarny,1984.0,Automatyczna,Niemcy,310.0,4x4 (dołączany automatycznie),po lewej,109000.0,Kujawsko-pomorskie,Prywatne,Audi,False,10946.859903381739,10
FX,Benzyna,SUV,224000,Srebrny,3498.0,Automatyczna,Stany Zjednoczone,280.0,4x4 (stały),po lewej,45900.0,Lubelskie,Prywatne,Infiniti,False,13700.30581039763,16
Octavia,Diesel,Kombi,179000,Inny kolor,1598.0,Manualna,Polska,105.0,Na przednie koła,po lewej,16000.0,Zachodniopomorskie,Prywatne,Skoda,True,14493.92712550618,12
E Klasa,LPG,Kombi,345000,Inny kolor,1800.0,Automatyczna,Niemcy,184.0,Na tylne koła,po lewej,15900.0,Śląskie,Prywatne,Mercedes-Benz,True,17829.457364341168,19
C Klasa,Diesel,Sedan,206743,Czarny,2148.0,Manualna,Niemcy,136.0,Na tylne koła,po lewej,15990.0,Warmińsko-mazurskie,Prywatne,Mercedes-Benz,False,11916.023054755105,17
Seria 3,Diesel,Kombi,282000,Niebieski,2000.0,Manualna,Austria,184.0,4x4 (dołączany automatycznie),po lewej,30000.0,Podkarpackie,Prywatne,BMW,False,18371.3355048861,15
Mondeo,Diesel,Kombi,363473,Czarny,1997.0,Manualna,Polska,140.0,Na przednie koła,po lewej,18200.0,Wielkopolskie,Prywatne,Ford,True,20949.452449567834,17
Leon,Diesel,Hatchback,277000,Biały,1600.0,Manualna,Polska,105.0,Brak danych,Brak danych,18900.0,Mazowieckie,Prywatne,Seat,True,19303.135888501864,14
Trafic,Diesel,Minibus,103700,Srebrny,1997.0,Manualna,Polska,145.0,Na przednie koła,Brak danych,96000.0,Świętokrzyskie,Prywatne,Renault,True,19383.177570093787,5
CX-5,Diesel,SUV,143000,Inny kolor,2200.0,Manualna,Brak danych,150.0,4x4 (dołączany automatycznie),po lewej,45000.0,Łódzkie,Prywatne,Mazda,False,11578.947368421137,12
Pozostałe Renault,Benzyna,Kombi,184000,Niebieski,1998.0,Manualna,Niemcy,135.0,Na przednie koła,po lewej,10000.0,Wielkopolskie,Prywatne,Renault,True,10605.187319884782,17
6,Benzyna,Kombi,267485,Czarny,2500.0,Manualna,Niemcy,177.0,Na przednie koła,po lewej,20000.0,Łódzkie,Prywatne,Mazda,True,15417.00288184446,17
Astra,Benzyna,Hatchback,242000,Szary,1598.0,Manualna,Brak danych,105.0,Na przednie koła,po lewej,8700.0,Mazowieckie,Prywatne,Opel,True,12506.459948320473,19
Carens,Diesel,Minivan,157000,Srebrny,1600.0,Manualna,Brak danych,128.0,Na przednie koła,po lewej,19000.0,Wielkopolskie,Prywatne,Kia,True,10940.766550522718,14
Qashqai,Benzyna,SUV,160000,Biały,1197.0,Manualna,Polska,115.0,Na przednie koła,po lewej,46500.0,Mazowieckie,Prywatne,Nissan,False,19161.676646706797,8
Focus,Diesel,Hatchback,202074,Czerwony,1499.0,Manualna,Francja,95.0,Na przednie koła,po lewej,29000.0,Śląskie,Prywatne,Ford,True,19524.057971014663,10
V40,Diesel,Hatchback,330000,Szary,1984.0,Manualna,Szwecja,190.0,Na przednie koła,po lewej,22500.0,Zachodniopomorskie,Prywatne,Volvo,False,29074.889867841644,11
Zafira,LPG,Minivan,333800,Niebieski,1598.0,Manualna,Brak danych,101.0,Na przednie koła,po lewej,6900.0,Lubelskie,Prywatne,Opel,False,15634.660421545734,21
Yaris,Benzyna,Hatchback,192500,Szary,998.0,Manualna,Niemcy,65.0,Na przednie koła,po lewej,13950.0,Kujawsko-pomorskie,Prywatne,Toyota,True,12540.716612377924,15
Brera,Diesel,Coupe,315000,Czarny,2400.0,Manualna,Brak danych,210.0,Na przednie koła,po lewej,22500.0,Mazowieckie,Prywatne,Alfa Romeo,True,18155.61959654188,17
208,Benzyna,Hatchback,64800,Czerwony,1199.0,Manualna,Belgia,68.0,Na przednie koła,Brak danych,26500.0,Mazowieckie,Prywatne,Peugeot,True,8816.326530612354,7
Cee'd,Diesel,Kombi,310000,Czarny,1600.0,Manualna,Belgia,90.0,Na przednie koła,po lewej,20500.0,Lubelskie,Prywatne,Kia,True,21602.78745644613,14
Avensis,Diesel,Kombi,181000,Czarny,2231.0,Manualna,Polska,150.0,Na przednie koła,po lewej,26900.0,Łódzkie,Prywatne,Toyota,True,11791.530944625478,15
Coupe,Benzyna,Coupe,186000,Czarny,1600.0,Manualna,Polska,110.0,Brak danych,po lewej,13000.0,Łódzkie,Prywatne,Renault,True,11376.146788990889,16
Captur,Diesel,SUV,50700,Srebrny,1460.0,Manualna,Belgia,90.0,Na przednie koła,po lewej,39900.0,Mazowieckie,Prywatne,Renault,False,7984.251968504052,6
Superb,Diesel,Hatchback,161300,Czarny,1968.0,Automatyczna,Brak danych,150.0,Na przednie koła,po lewej,60400.0,Śląskie,Prywatne,Skoda,True,19317.365269461287,8
500,Benzyna,Hatchback,64437,Czerwony,1242.0,Automatyczna,Francja,69.0,Na przednie koła,po lewej,39500.0,Śląskie,Prywatne,Fiat,True,6225.7971014493305,10
GLC,Benzyna,SUV,108000,Czerwony,1991.0,Automatyczna,Stany Zjednoczone,241.0,4x4 (dołączany automatycznie),po lewej,85900.0,Małopolskie,Prywatne,Mercedes-Benz,True,14693.87755102059,7
E Klasa,Diesel,Sedan,428000,Inny kolor,2148.0,Manualna,Polska,149.0,Na tylne koła,po prawej,8000.0,Łódzkie,Prywatne,Mercedes-Benz,True,18329.76445396153,23
Seria 5,Diesel,Sedan,399000,Czarny,3000.0,Automatyczna,Niemcy,211.0,Na tylne koła,po lewej,28900.0,Warmińsko-mazurskie,Prywatne,BMW,True,20620.155038759785,19
Grand Vitara,Diesel,Terenowy,267000,Srebrny,1870.0,Manualna,Norwegia,129.0,4x4 (stały),po lewej,15500.0,Lubuskie,Prywatne,Suzuki,True,13798.449612403165,19
Passat,Benzyna,Kombi,269000,Srebrny,1984.0,Manualna,Brak danych,130.0,Na przednie koła,po lewej,6700.0,Dolnośląskie,Prywatne,Volkswagen,True,11520.342612419745,23
Mondeo,Diesel,Kombi,266737,Szary,1997.0,Automatyczna,Holandia,150.0,Na przednie koła,po lewej,50999.0,Lubelskie,Prywatne,Ford,True,36290.74829932018,7
M5,Benzyna,Sedan,88000,Czarny,4395.0,Automatyczna,Brak danych,600.0,4x4 (dołączany ręcznie),po lewej,259900.0,Wielkopolskie,Prywatne,BMW,True,11972.789115646407,7
9-3,Benzyna,Sedan,300000,Szary,2000.0,Manualna,Brak danych,300.0,Na przednie koła,po lewej,24900.0,Małopolskie,Prywatne,Saab,False,14742.014742014808,20
Giulietta,Diesel,Sedan,210000,Biały,1956.0,Manualna,Francja,140.0,Na przednie koła,po lewej,28900.0,Małopolskie,Prywatne,Alfa Romeo,True,15730.337078651792,13
A7,Benzyna,Coupe,19400,Czarny,1995.0,Automatyczna,Polska,265.0,4x4 (dołączany automatycznie),po lewej,164256.0,Mazowieckie,Prywatne,Audi,False,14370.370370371338,1
Seria 1,Diesel,Hatchback,190000,Niebieski,1995.0,Manualna,Brak danych,150.0,Na tylne koła,po lewej,39999.0,Mazowieckie,Prywatne,BMW,True,18357.487922705477,10
A5,Diesel,Hatchback,416868,Biały,1968.0,Manualna,Brak danych,150.0,Na przednie koła,po lewej,38900.0,Małopolskie,Prywatne,Audi,True,29050.034843205758,14
A6,Diesel,Kombi,199000,Czarny,2000.0,Automatyczna,Polska,190.0,Na przednie koła,Brak danych,83000.0,Wielkopolskie,Firmowe,Audi,True,21283.422459893256,9
Seria 5,Diesel,Sedan,375202,Szary,2993.0,Automatyczna,Holandia,218.0,Na tylne koła,po lewej,18800.0,Śląskie,Prywatne,BMW,False,17573.86416861834,21
Astra,Benzyna,Kombi,52000,Inny kolor,1398.0,Manualna,Brak danych,150.0,Na przednie koła,po lewej,52500.0,Dolnośląskie,Firmowe,Opel,True,7074.829931972877,7
Seria 5,Diesel,Sedan,370000,Szary,2000.0,Manualna,Belgia,177.0,Brak danych,po lewej,19000.0,Małopolskie,Prywatne,BMW,True,21325.648414985702,17
Insignia,Diesel,Kombi,272000,Inny kolor,1998.0,Automatyczna,Brak danych,160.0,4x4 (stały),po lewej,19900.0,Dolnośląskie,Firmowe,Opel,True,18954.703832752733,14
208,Benzyna,Hatchback,44000,Biały,1200.0,Automatyczna,Brak danych,110.0,Brak danych,po lewej,34700.0,Pomorskie,Prywatne,Peugeot,True,6929.133858267815,6
Orlando,Diesel,Minivan,333489,Srebrny,1998.0,Manualna,Włochy,160.0,Na przednie koła,po lewej,25000.0,Łódzkie,Prywatne,Chevrolet,True,23239.6515679444,14
A4,Diesel,Kombi,367927,Czarny,1968.0,Manualna,Brak danych,140.0,Na przednie koła,po lewej,8900.0,Małopolskie,Prywatne,Audi,True,18079.95085995094,20
Jetta,Benzyna,Sedan,195500,Czarny,1400.0,Manualna,Niemcy,122.0,Na przednie koła,po lewej,27900.0,Śląskie,Prywatne,Volkswagen,False,14644.194756554407,13
A6,Diesel,Kombi,383763,Inny kolor,2967.0,Automatyczna,Inny,313.0,4x4 (dołączany automatycznie),Brak danych,62900.0,Mazowieckie,Prywatne,Audi,True,33811.71806167428,11
Pacifica,LPG,Minivan,176500,Czarny,3600.0,Automatyczna,Stany Zjednoczone,291.0,Na przednie koła,po lewej,79900.0,Śląskie,Firmowe,Chrysler,False,24013.60544217717,7
Auris,Benzyna,Hatchback,180000,Szary,1598.0,Manualna,Brak danych,125.0,Brak danych,po lewej,19500.0,Mazowieckie,Prywatne,Toyota,False,11009.174311926667,16
Golf,Benzyna,Hatchback,81000,Czerwony,1498.0,Automatyczna,Polska,150.0,Na przednie koła,po lewej,78900.0,Mazowieckie,Prywatne,Volkswagen,True,11020.408163265443,7
C Klasa,Benzyna,Sedan,231500,Srebrny,1800.0,Automatyczna,Niemcy,192.0,Na tylne koła,po lewej,18400.0,Kujawsko-pomorskie,Prywatne,Mercedes-Benz,True,10843.09133489466,21
B Klasa,Diesel,Hatchback,252755,Niebieski,2000.0,Automatyczna,Brak danych,109.0,Na przednie koła,Brak danych,16900.0,Opolskie,Firmowe,Mercedes-Benz,False,15459.021406727914,16
A4,Diesel,Sedan,237203,Inny kolor,1968.0,Manualna,Niemcy,143.0,Na przednie koła,po lewej,35000.0,Małopolskie,Prywatne,Audi,True,16529.825783972232,14
A6,Diesel,Kombi,265000,Czarny,1998.0,Manualna,Niemcy,140.0,Na przednie koła,po lewej,19800.0,Warmińsko-mazurskie,Prywatne,Audi,True,15273.775216138409,17
A5,Benzyna,Sedan,219300,Czarny,1798.0,Automatyczna,Polska,170.0,Na przednie koła,po lewej,45000.0,Mazowieckie,Prywatne,Audi,True,17757.085020243045,12
GLK Klasa,Diesel,SUV,226000,Czarny,2987.0,Automatyczna,Polska,224.0,4x4 (dołączany automatycznie),po lewej,50000.0,Mazowieckie,Prywatne,Mercedes-Benz,True,14723.127035830707,15
Multivan,Diesel,Minivan,348000,Niebieski,2500.0,Automatyczna,Niemcy,174.0,Na przednie koła,po lewej,48900.0,Podlaskie,Prywatne,Volkswagen,True,18964.577656675843,18
A4,Benzyna,Sedan,172000,Srebrny,1595.0,Manualna,Polska,102.0,Na przednie koła,po lewej,6999.0,Warmińsko-mazurskie,Prywatne,Audi,True,8056.206088993009,21
Berlingo,Diesel,Minivan,217000,Biały,1560.0,Manualna,Inny,75.0,Na przednie koła,po lewej,23500.0,Wielkopolskie,Prywatne,Citroen,False,20966.18357487941,10
Accord,LPG,Sedan,260000,Żółty – Złoty,1850.0,Manualna,Polska,136.0,Na przednie koła,po lewej,1999.0,Mazowieckie,Prywatne,Honda,False,9867.172675521855,26
Tiguan,Benzyna,SUV,12700,Srebrny,1498.0,Automatyczna,Polska,150.0,Na przednie koła,po lewej,138000.0,Wielkopolskie,Prywatne,Volkswagen,True,9407.407407408042,1
Astra,LPG,Kombi,274000,Szary,1600.0,Manualna,Polska,90.0,Na przednie koła,Brak danych,8850.0,Podkarpackie,Prywatne,Opel,True,14160.20671834632,19
S40,Diesel,Sedan,284000,Czarny,1560.0,Manualna,Brak danych,110.0,Na przednie koła,po lewej,8500.0,Mazowieckie,Prywatne,Volvo,False,15476.839237057298,18
Tiguan,Diesel,SUV,299999,Szary,1989.0,Manualna,Francja,110.0,Na przednie koła,po lewej,33900.0,Podlaskie,Prywatne,Volkswagen,True,24291.417004048762,12
Vectra,Diesel,Kombi,353300,Czarny,1900.0,Manualna,Brak danych,190.0,Na przednie koła,po lewej,18000.0,Małopolskie,Prywatne,Opel,False,18258.397932816624,19
308,Diesel,Kombi,247020,Szary,1600.0,Manualna,Holandia,112.0,Na przednie koła,po lewej,12700.0,Łódzkie,Prywatne,Peugeot,True,16092.508143322571,15
Focus,Benzyna,Kombi,75127,Biały,999.0,Automatyczna,Brak danych,125.0,Na przednie koła,po lewej,45500.0,Śląskie,Firmowe,Ford,True,11831.023622047414,6
Orlando,Diesel,Kombi,214000,Inny kolor,2000.0,Manualna,Polska,165.0,Na przednie koła,po lewej,23000.0,Pomorskie,Prywatne,Chevrolet,True,14912.891986062812,14
Fabia,Diesel,Kombi,335500,Srebrny,1400.0,Manualna,Belgia,80.0,Na przednie koła,po lewej,5950.0,Małopolskie,Prywatne,Skoda,True,18283.378746594095,18
Astra,LPG,Kombi,272800,Niebieski,1600.0,Manualna,Niemcy,105.0,Na przednie koła,po lewej,9500.0,Śląskie,Prywatne,Opel,False,12777.517564402864,21
Passat,Diesel,Kombi,278700,Srebrny,2000.0,Manualna,Niemcy,140.0,Na przednie koła,po lewej,33900.0,Śląskie,Prywatne,Volkswagen,True,19421.60278745657,14
Focus,Benzyna,Kombi,119450,Szary,1496.0,Manualna,Polska,110.0,Na przednie koła,po lewej,50000.0,Śląskie,Prywatne,Ford,True,18811.023622047513,6
A4,Diesel,Kombi,240000,Czerwony,1999.0,Automatyczna,Islandia,177.0,4x4 (dołączany automatycznie),po lewej,48500.0,Podkarpackie,Prywatne,Audi,True,19433.198380566944,12
Civic,Benzyna,Hatchback,243000,Czarny,1799.0,Manualna,Brak danych,140.0,Brak danych,po lewej,15500.0,Podlaskie,Prywatne,Honda,True,13242.506811989166,18
Megane,Diesel,Hatchback,196000,Czarny,1870.0,Manualna,Niemcy,130.0,Na przednie koła,po lewej,18900.0,Lubelskie,Firmowe,Renault,True,12768.729641693886,15
Xsara,Benzyna,Sedan,270000,Zielony,1749.0,Manualna,Inny,115.0,Na przednie koła,Brak danych,2500.0,Lubelskie,Prywatne,Citroen,True,10650.887573964535,25
C4,LPG,Coupe,277000,Czarny,1997.0,Manualna,Niemcy,177.0,Na przednie koła,po lewej,6500.0,Podkarpackie,Prywatne,Citroen,True,13611.793611793673,20
Murano,Diesel,SUV,167000,Biały,2500.0,Automatyczna,Niemcy,190.0,4x4 (dołączany ręcznie),po lewej,28250.0,Śląskie,Prywatne,Nissan,True,11637.63066202098,14
Hilux,Diesel,Pickup,171234,Biały,2400.0,Manualna,Polska,150.0,4x4 (dołączany ręcznie),po lewej,89900.0,Opolskie,Firmowe,Toyota,True,23297.142857143146,7
i30,Diesel,Kombi,192000,Szary,1600.0,Manualna,Holandia,82.0,Na tylne koła,Brak danych,17000.0,Mazowieckie,Prywatne,Hyundai,True,13379.790940766636,14
C5,Diesel,Kombi,230000,Biały,1997.0,Automatyczna,Brak danych,180.0,Na przednie koła,po lewej,41900.0,Podlaskie,Prywatne,Citroen,True,27544.910179641018,8
Bravo,Benzyna,Hatchback,230000,Brązowy – Beżowy,1368.0,Manualna,Polska,90.0,Na przednie koła,po lewej,15500.0,Mazowieckie,Prywatne,Fiat,True,14983.713355048949,15
Touran,Diesel,Minivan,260602,Niebieski,1968.0,Automatyczna,Polska,140.0,Na przednie koła,po lewej,29500.0,Lubuskie,Prywatne,Volkswagen,True,18160.418118467012,14
X-Trail,Diesel,SUV,276900,Czarny,2184.0,Manualna,Polska,115.0,4x4 (dołączany ręcznie),po lewej,8900.0,Podlaskie,Prywatne,Nissan,True,12389.261744966494,22
Scenic,Benzyna,Minibus,181000,Niebieski,1200.0,Manualna,Niemcy,115.0,Na przednie koła,Brak danych,18000.0,Śląskie,Prywatne,Renault,True,13558.05243445702,13
Octavia,Benzyna,Kombi,205000,Szary,1390.0,Manualna,Polska,122.0,Na przednie koła,Brak danych,20900.0,Warmińsko-mazurskie,Prywatne,Skoda,True,15355.805243445797,13
C1,Benzyna,Hatchback,163260,Szary,998.0,Manualna,Polska,68.0,Na przednie koła,po lewej,4450.0,Mazowieckie,Prywatne,Citroen,True,8437.20930232562,19
Octavia,Diesel,Kombi,233000,Srebrny,1968.0,Manualna,Niemcy,116.0,Na przednie koła,Brak danych,33500.0,Dolnośląskie,Prywatne,Skoda,True,27904.19161676677,8
GLA,Benzyna,Coupe,65000,Szary,1595.0,Automatyczna,Polska,156.0,Na przednie koła,po lewej,89000.0,Śląskie,Prywatne,Mercedes-Benz,False,8843.537414966097,7
Touran,Diesel,Minivan,278000,Szary,1896.0,Manualna,Niemcy,105.0,Na przednie koła,po lewej,16500.0,Lubuskie,Prywatne,Volkswagen,True,17003.05810397563,16
Grande Punto,LPG,Hatchback,280100,Inny kolor,1368.0,Manualna,Polska,77.0,Na przednie koła,po lewej,9500.0,Małopolskie,Prywatne,Fiat,True,18247.557003257436,15
Grand Cherokee,Benzyna,SUV,258436,Czarny,3604.0,Automatyczna,Stany Zjednoczone,285.0,4x4 (stały),Brak danych,70000.0,Wielkopolskie,Prywatne,Jeep,True,24969.66183574901,10
Seria 5,Benzyna,Sedan,121000,Czarny,4400.0,Automatyczna,Brak danych,500.0,Brak danych,po lewej,33000.0,Mazowieckie,Prywatne,BMW,True,9063.67041198508,13
508,Diesel,Kombi,337577,Inny kolor,1997.0,Automatyczna,Polska,163.0,Na przednie koła,po lewej,18000.0,Lubelskie,Prywatne,Peugeot,True,27334.17004048603,12
Ibiza,Benzyna,Hatchback,114000,Czarny,1197.0,Manualna,Austria,105.0,Na przednie koła,po lewej,21000.0,Śląskie,Prywatne,Seat,True,10044.052863436204,11
Passat,Diesel,Kombi,337151,Czarny,1968.0,Manualna,Brak danych,170.0,Brak danych,Brak danych,14200.0,Opolskie,Prywatne,Volkswagen,True,19432.334293948228,17
Space Star,Benzyna,Hatchback,144300,Czarny,1193.0,Manualna,Brak danych,80.0,Na przednie koła,po lewej,12500.0,Mazowieckie,Firmowe,Mitsubishi,True,13942.02898550737,10
RAPID,Benzyna,Hatchback,194000,Biały,1390.0,Automatyczna,Polska,122.0,Na przednie koła,po prawej,29999.0,Mazowieckie,Prywatne,Skoda,True,17092.511013215997,11
Accord,LPG,Sedan,333000,Srebrny,2000.0,Manualna,Brak danych,155.0,Na przednie koła,po lewej,9900.0,Podlaskie,Prywatne,Honda,False,14899.328859060462,22
V50,Diesel,Kombi,177000,Niebieski,1997.0,Manualna,Polska,136.0,Na przednie koła,po lewej,17000.0,Mazowieckie,Prywatne,Volvo,True,11530.944625407234,15
Sportage,Benzyna,SUV,123500,Czarny,1600.0,Manualna,Polska,177.0,4x4 (dołączany automatycznie),po lewej,63900.0,Pomorskie,Prywatne,Kia,True,14790.419161676808,8
Superb,Benzyna,Sedan,128987,Brązowy – Beżowy,1984.0,Automatyczna,Polska,272.0,4x4 (stały),po lewej,91000.0,Śląskie,Prywatne,Skoda,False,17549.25170068049,7
Duster,LPG,SUV,136653,Biały,1598.0,Manualna,Polska,114.0,Na przednie koła,po lewej,37000.0,Warmińsko-mazurskie,Prywatne,Dacia,True,16365.628742515148,8
Trafic,Diesel,Kombi,247500,Czarny,1995.0,Manualna,Niemcy,90.0,Na przednie koła,po lewej,24000.0,Śląskie,Firmowe,Renault,False,14265.129682997193,17
Duster,Diesel,SUV,220000,Biały,1500.0,Manualna,Polska,85.0,Na przednie koła,po lewej,9999.0,Mazowieckie,Prywatne,Dacia,False,14332.247557003342,15
Focus,Diesel,Kombi,198000,Srebrny,1753.0,Manualna,Polska,115.0,Na przednie koła,po lewej,8000.0,Śląskie,Prywatne,Ford,True,12110.091743119334,16
Accord,Benzyna,Sedan,190000,Szary,2000.0,Manualna,Polska,156.0,Brak danych,Brak danych,34900.0,Mazowieckie,Prywatne,Honda,False,15384.615384615498,12
Grande Punto,LPG,Hatchback,268000,Inny kolor,1400.0,Manualna,Polska,77.0,Na przednie koła,po lewej,6500.0,Śląskie,Prywatne,Fiat,True,13850.129198966473,19
Pacifica,Benzyna,Minivan,76000,Czarny,3600.0,Automatyczna,Stany Zjednoczone,287.0,Na przednie koła,po lewej,114900.0,Śląskie,Prywatne,Chrysler,False,14205.607476635756,5
